x_true, y_true, vx_true, vy_true, sensor, nis
8.5362, 0.1367, 2.3988, -4.2324, L, 1.4043
8.6573, -0.0743, 2.4474, -4.2088, R, 4.0422
8.7809, -0.2840, 2.4972, -4.1839, L, 0.9033
8.9070, -0.4925, 2.5481, -4.1578, R, 5.3314
9.0356, -0.6996, 2.6000, -4.1302, L, 0.4375
9.1669, -0.9053, 2.6529, -4.1012, R, 2.8766
9.3008, -1.1095, 2.7068, -4.0708, L, 7.7168
9.4375, -1.3122, 2.7617, -4.0389, R, 3.8540
9.5769, -1.5132, 2.8174, -4.0055, L, 1.0799
9.7191, -1.7125, 2.8740, -3.9705, R, 3.3231
9.8642, -1.9101, 2.9313, -3.9338, L, 3.0425
10.0122, -2.1057, 2.9894, -3.8955, R, 2.4163
10.1630, -2.2994, 3.0481, -3.8555, L, 0.4240
10.3169, -2.4910, 3.1075, -3.8137, R, 6.1897
10.4737, -2.6805, 3.1674, -3.7701, L, 1.4918
10.6335, -2.8678, 3.2278, -3.7247, R, 0.4030
10.7963, -3.0528, 3.2887, -3.6774, L, 1.2873
10.9622, -3.2353, 3.3499, -3.6282, R, 5.9685
11.1311, -3.4154, 3.4114, -3.5770, L, 0.0120
11.3032, -3.5928, 3.4732, -3.5239, R, 1.2641
11.4783, -3.7676, 3.5351, -3.4688, L, 0.9026
11.6565, -3.9395, 3.5971, -3.4116, R, 0.7130
11.8378, -4.1085, 3.6590, -3.3523, L, 0.2357
12.0223, -4.2745, 3.7209, -3.2909, R, 1.8002
12.2098, -4.4374, 3.7827, -3.2274, L, 0.1218
12.4003, -4.5971, 3.8442, -3.1618, R, 1.6011
12.5940, -4.7534, 3.9054, -3.0940, L, 0.6722
12.7907, -4.9063, 3.9662, -3.0239, R, 0.9254
12.9904, -5.0556, 4.0264, -2.9517, L, 0.9400
13.1931, -5.2012, 4.0861, -2.8773, R, 5.0775
13.3988, -5.3431, 4.1451, -2.8006, L, 2.0089
13.6074, -5.4811, 4.2033, -2.7217, R, 6.0126
13.8189, -5.6151, 4.2607, -2.6405, L, 1.7859
14.0332, -5.7450, 4.3171, -2.5571, R, 1.3497
14.2504, -5.8706, 4.3724, -2.4715, L, 0.1379
14.4703, -5.9920, 4.4265, -2.3837, R, 0.1275
14.6928, -6.1089, 4.4795, -2.2936, L, 0.3703
14.9180, -6.2212, 4.5310, -2.2014, R, 1.8054
15.1457, -6.3288, 4.5811, -2.1069, L, 7.8877
15.3758, -6.4317, 4.6297, -2.0103, R, 0.7754
15.6084, -6.5297, 4.6765, -1.9116, L, 0.1888
15.8432, -6.6228, 4.7217, -1.8108, R, 2.1760
16.0803, -6.7107, 4.7650, -1.7079, L, 1.3529
16.3195, -6.7934, 4.8063, -1.6030, R, 5.1771
16.5607, -6.8709, 4.8456, -1.4961, L, 0.0793
16.8038, -6.9429, 4.8827, -1.3872, R, 1.1854
17.0487, -7.0095, 4.9176, -1.2765, L, 0.7295
17.2953, -7.0705, 4.9502, -1.1640, R, 1.9631
17.5434, -7.1258, 4.9803, -1.0497, L, 2.5854
17.7930, -7.1754, 5.0079, -0.9337, R, 7.5234
18.0440, -7.2191, 5.0328, -0.8160, L, 0.5357
18.2961, -7.2569, 5.0551, -0.6968, R, 4.7708
18.5492, -7.2887, 5.0746, -0.5762, L, 0.4250
18.8033, -7.3145, 5.0912, -0.4541, R, 4.8590
19.0581, -7.3341, 5.1048, -0.3307, L, 1.5239
19.3135, -7.3475, 5.1154, -0.2061, R, 3.2553
19.5694, -7.3547, 5.1229, -0.0804, L, 5.9168
19.8255, -7.3555, 5.1273, 0.0464, R, 0.8534
20.0818, -7.3500, 5.1284, 0.1741, L, 0.4860
20.3381, -7.3381, 5.1262, 0.3026, R, 3.0486
20.5942, -7.3197, 5.1206, 0.4318, L, 4.0755
20.8499, -7.2949, 5.1115, 0.5616, R, 2.2292
21.1051, -7.2636, 5.0991, 0.6919, L, 1.4265
21.3596, -7.2257, 5.0831, 0.8226, R, 0.3553
21.6132, -7.1813, 5.0635, 0.9535, L, 3.5440
21.8657, -7.1304, 5.0403, 1.0846, R, 7.4733
22.1170, -7.0729, 5.0135, 1.2156, L, 6.7597
22.3669, -7.0089, 4.9831, 1.3466, R, 2.8533
22.6151, -6.9383, 4.9489, 1.4773, L, 3.1584
22.8616, -6.8612, 4.9111, 1.6076, R, 7.0907
23.1060, -6.7776, 4.8696, 1.7373, L, 2.3217
23.3483, -6.6875, 4.8243, 1.8665, R, 3.6475
23.5883, -6.5910, 4.7754, 1.9948, L, 0.0474
23.8257, -6.4881, 4.7227, 2.1223, R, 2.7724
24.0604, -6.3788, 4.6663, 2.2487, L, 1.3647
24.2922, -6.2633, 4.6063, 2.3739, R, 0.7809
24.5209, -6.1415, 4.5426, 2.4978, L, 1.8327
24.7463, -6.0136, 4.4753, 2.6202, R, 2.0293
24.9683, -5.8796, 4.4044, 2.7411, L, 0.2222
25.1866, -5.7395, 4.3300, 2.8603, R, 1.0999
25.4011, -5.5936, 4.2521, 2.9776, L, 0.8347
25.6117, -5.4419, 4.1707, 3.0929, R, 2.5276
25.8181, -5.2844, 4.0860, 3.2062, L, 7.1348
26.0202, -5.1213, 3.9979, 3.3172, R, 0.4416
26.2178, -4.9527, 3.9066, 3.4259, L, 1.3691
